account,totalGasCost,appearanceCount,migrationTransactionHashes,Airdrop Transaction,Airdrop Transasction Status
0x013a974582aa2322Dcc5089c0d82Dcc245291AEE,5.64187E+15,2,"['0x3f306418e636e0d1fb614aa23431510ffb29ad8b7be8987fce90478c58f75817', '0xea23904013a7841ceac3e3d1cb6d4ced895eaea61bda509b55d72707e4fd773e']",https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97581,SUCCESS
0x014131646b75e9a61533b517B773D7B8E479AA50,2348275087832143,1,['0x209dfa7362d731d9f9ae0f3bbf0442b54ff3a174824767a6921d8c1e859a04ce'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97582,SUCCESS
0x0147e150D6bcBB2150959ba4a8b16f7a9D3fEe84,2.40622E+15,1,['0xce6e5d563b6e9e544edbab45204db20bf67cf7919884b930cc2603ef5cea7f3a'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97583,SUCCESS
0x014C4c95bf44462C2D47279EAB9a643E985e7D23,1714800213662413,1,['0xbb39fad261d3e3f01e90311276bb7e03dc3567f2df4427675f1377f1c975e579'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97584,SUCCESS
0x015a12a663105Edb5CfEB9E39A4D67073648b37f,1988814284078384,1,['0xd300495afb973f0403892c115ffb8c1b94e22f7dacd429cc6bd796aaab5f1dc1'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97585,SUCCESS
0x0163290eEA81648AeE39BA5a9EfF3393829B382E,2167611479344829,1,['0x97ebf81d01f3c3e39d294f2e8364be88f29c8b27c28922394d4314236477c708'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97586,SUCCESS
0x0178274Ec3e22cB684a35d829f5e15F66441e71a,2.35753E+15,1,['0x6dbfe350011b8b444183ea6acfda696f2ec938c92159b9912821c6e1cea196ff'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97587,SUCCESS
0x017F73D42e45320e12F164e8d1B109Df18c4056a,1.99192E+15,1,['0xdbfcf4cb835fee449a7fff8b70ed66b30a2ecf50e59025b87fdf172c2d23a43a'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97588,SUCCESS
0x0184FC55d9AC8856Fc365BDc70825756c9D438fc,4524926706834157,1,['0x01c9c902ab18d1be8c3f114e2d605cc7a32098c3c51e421bc62ed88c5b8ffeda'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97589,SUCCESS
0x018A81aaF8b984d0f0d962580D476505d4130b94,3205170584280772,1,['0x9d0ee1d41527450379454f7473a55ed1c3f3f71597d718af62c70a11f45e06e7'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97590,SUCCESS
0x019AA970e6B7f1360C88CC5ED6D765FC89b68953,1448176716387049,1,['0x2b93135e4d6f8c8270356dfe5cca97d50902b35022155c3a3fc54d271204fa74'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97591,SUCCESS
0x01C0Eef03edDeC2a7575C3B8C7da2397F79CD644,2504042758644125,1,['0x52acce49b57027dfee0cf20c502148109c4e9a3f73044e3059d91413eac402a7'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97592,SUCCESS
0x01aE5B5A34F51754bF70F80Ae1381Cc370166120,2575654645893615,1,['0xcb3e488d3b528f05b2bb5306964838eef2519c58aa85b8db26d4540c69330c02'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97593,SUCCESS
0x01b86AEEbCD1Ff94aC1195cFc8FD9e39dB24db45,3.02139E+15,1,['0xb9dd9f44d2e05adb09964728233fcb0bd05d181b5de42efe0529d514aaa91f35'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97594,SUCCESS
